 ,ID,Label,Network,regions,x,y,z,colors
349,350,Cereb_Dorsal Attention,Cerebellum,cereb,0,0,0,
350,351,Cereb_Ventral Attention,Cerebellum,cereb,0,0,0,
351,352,Cereb_Limbic,Cerebellum,cereb,0,0,0,
352,353,Cereb_Fronto-Parietal,Cerebellum,cereb,0,0,0,
353,354,Cereb_Default-Mode,Cerebellum,cereb,0,0,0,
354,355,Community1,Brainstem,midbrain,0,0,0,#8a8a8a
355,356,Community2,Brainstem,midbrain,0,0,0,#8a8a8a
356,357,Community3,Brainstem,midbrain,0,0,0,#8a8a8a
357,358,Community4,Brainstem,midbrain,0,0,0,#8a8a8a
358,359,Community5,Brainstem,midbrain,0,0,0,#8a8a8a
359,360,Diencephalic,Brainstem,midbrain,0,0,0,#8a8a8a
